"","TR"
"1096",3.47
"1097",3.48
"1098",3.48
"1099",3.44
"1100",3.45
"1101",3.47
"1102",3.46
"1103",3.46
"1104",3.43
"1105",3.41
"1106",3.42
"1107",3.42
"1108",3.38
"1109",3.36
"1110",3.34
"1111",3.32
"1112",3.31
"1113",3.26
"1114",3.27
"1115",3.24
"1116",3.24
"1117",3.25
"1118",3.31
"1119",3.34
"1120",3.33
"1121",3.35
"1122",3.35
"1123",3.36
"1124",3.32
"1125",3.3
"1126",3.3
"1127",3.27
"1128",3.25
"1129",3.3
"1130",3.31
"1131",3.35
"1132",3.35
"1133",3.35
"1134",3.35
"1135",3.32
"1136",3.3
"1137",3.32
"1138",3.33
"1139",3.33
"1140",3.34
"1141",3.32
"1142",3.31
"1143",3.33
"1144",3.32
"1145",3.28
"1146",3.27
"1147",3.28
"1148",3.29
"1149",3.3
"1150",3.28
"1151",3.26
"1152",3.25
"1153",3.23
"1154",3.2
"1155",3.22
"1156",3.25
"1157",3.27
"1158",3.26
"1159",3.27
"1160",3.34
"1161",3.42
"1162",3.52
"1163",3.53
"1164",3.53
"1165",3.52
"1166",3.59
"1167",3.6
"1168",3.59
"1169",3.58
"1170",3.55
"1171",3.57
"1172",3.57
"1173",3.59
"1174",3.64
"1175",3.63
"1176",3.64
"1177",3.64
"1178",3.63
"1179",3.64
"1180",3.64
"1181",3.63
"1182",3.64
"1183",3.61
"1184",3.59
"1185",3.62
"1186",3.6
"1187",3.59
"1188",3.6
"1189",3.6
"1190",3.66
"1191",3.69
"1192",3.69
"1193",3.67
"1194",3.65
"1195",3.66
"1196",3.64
"1197",3.63
"1198",3.63
"1199",3.64
"1200",3.65
"1201",3.64
"1202",3.61
"1203",3.59
"1204",3.56
"1205",3.57
"1206",3.57
"1207",3.56
"1208",3.55
"1209",3.55
"1210",3.57
"1211",3.6
"1212",3.63
"1213",3.61
"1214",3.6
"1215",3.67
"1216",3.68
"1217",3.67
"1218",3.66
"1219",3.66
"1220",3.64
"1221",3.62
"1222",3.61
"1223",3.65
"1224",3.64
"1225",3.66
"1226",3.67
"1227",3.69
"1228",3.73
"1229",3.71
"1230",3.7
"1231",3.68
"1232",3.68
"1233",3.65
"1234",3.65
"1235",3.65
"1236",3.61
"1237",3.59
"1238",3.61
"1239",3.61
"1240",3.66
"1241",3.64
"1242",3.66
"1243",3.63
"1244",3.61
"1245",3.6
"1246",3.58
"1247",3.59
"1248",3.56
"1249",3.57
"1250",3.57
"1251",3.58
"1252",3.59
"1253",3.58
"1254",3.56
"1255",3.58
"1256",3.6
"1257",3.69
"1258",3.68
"1259",3.66
"1260",3.65
"1261",3.68
"1262",3.67
"1263",3.66
"1264",3.67
"1265",3.69
"1266",3.65
"1267",3.64
"1268",3.62
"1269",3.63
"1270",3.63
"1271",3.66
"1272",3.72
"1273",3.72
"1274",3.77
"1275",3.78
"1276",3.8
"1277",3.8
"1278",3.81
"1279",3.89
"1280",3.9
"1281",3.93
"1282",3.93
"1283",3.95
"1284",3.96
"1285",3.99
"1286",4
"1287",4.01
"1288",3.99
"1289",4.03
"1290",4.04
"1291",4.05
"1292",4.08
"1293",4.09
"1294",4.06
"1295",4.06
"1296",4.11
"1297",4.1
"1298",4.09
"1299",4.08
"1300",4.08
"1301",4.06
"1302",4.04
"1303",4.03
"1304",4.07
"1305",4.06
"1306",4.07
"1307",4.11
"1308",4.09
"1309",4.1
"1310",4.07
"1311",4.04
"1312",4.03
"1313",4.03
"1314",4.04
"1315",4.01
"1316",4
"1317",3.98
"1318",3.98
"1319",4.04
"1320",4.03
"1321",4.04
"1322",4.03
"1323",4.01
"1324",4.01
"1325",4.04
"1326",4.04
"1327",4.07
"1328",4.08
"1329",4.07
"1330",4.04
"1331",4.03
"1332",4.02
"1333",4.02
"1334",4.05
"1335",4.07
"1336",4.07
"1337",4.08
"1338",4.09
"1339",4.1
"1340",4.09
"1341",4.09
"1342",4.08
"1343",4.1
"1344",4.11
"1345",4.13
"1346",4.11
"1347",4.08
"1348",4.06
"1349",4.03
"1350",4.05
"1351",4.07
"1352",4.07
"1353",4.09
"1354",4.09
"1355",4.12
"1356",4.17
"1357",4.18
"1358",4.17
"1359",4.18
"1360",4.21
"1361",4.25
"1362",4.3
"1363",4.3
"1364",4.27
"1365",4.25
"1366",4.27
"1367",4.26
"1368",4.26
"1369",4.26
"1370",4.29
